year,epi_week,lga,confirmed_cases,data_source,date,rainfall_weekly,temp_mean,temp_max,temp_min,humidity_mean,pop_density,population,water_access,sanitation_access,open_defecation,mpi,elevation_m,dist_coast_km,dist_river_km
2020,5,Akoko North-East,0,WHO_literature,2020-02-03,0.0,23.03142857142857,31.09,15.1,49.19285714285714,285,187,62,48,28,0.312,387,187,8
2020,6,Akoko North-East,0,WHO_literature,2020-02-10,0.0,24.212857142857143,31.82,15.73,60.54571428571428,285,187,62,48,28,0.312,387,187,8
2020,7,Akoko North-East,0,WHO_literature,2020-02-17,0.0,24.157142857142855,32.71,16.02,57.01285714285715,285,187,62,48,28,0.312,387,187,8
2020,8,Akoko North-East,0,WHO_literature,2020-02-24,0.0,25.84714285714286,33.65,19.52,74.64142857142858,285,187,62,48,28,0.312,387,187,8
2020,9,Akoko North-East,0,WHO_literature,2020-03-02,0.38,25.75714285714286,32.73,20.43,72.74142857142857,285,187,62,48,28,0.312,387,187,8
2020,10,Akoko North-East,0,WHO_literature,2020-03-09,8.26,26.31714285714286,34.49,20.18,80.45285714285716,285,187,62,48,28,0.312,387,187,8
2020,11,Akoko North-East,0,WHO_literature,2020-03-16,20.6,26.292857142857144,32.75,20.39,81.08,285,187,62,48,28,0.312,387,187,8
2020,12,Akoko North-East,0,WHO_literature,2020-03-23,8.299999999999999,26.537142857142857,32.29,22.76,83.99714285714286,285,187,62,48,28,0.312,387,187,8
2020,13,Akoko North-East,0,WHO_literature,2020-03-30,22.0,25.648571428571426,31.69,21.62,84.95857142857143,285,187,62,48,28,0.312,387,187,8
2020,14,Akoko North-East,0,WHO_literature,2020-04-06,19.18,25.835714285714285,31.08,22.87,86.94714285714285,285,187,62,48,28,0.312,387,187,8
2020,15,Akoko North-East,0,WHO_literature,2020-04-13,44.73,25.15142857142857,31.6,20.28,83.17285714285715,285,187,62,48,28,0.312,387,187,8
2020,16,Akoko North-East,0,WHO_literature,2020-04-20,2.11,27.068571428571428,33.45,21.91,81.92714285714285,285,187,62,48,28,0.312,387,187,8
2020,17,Akoko North-East,0,WHO_literature,2020-04-27,35.57,25.437142857142856,29.65,22.04,87.18999999999998,285,187,62,48,28,0.312,387,187,8
2020,18,Akoko North-East,0,WHO_literature,2020-05-04,42.57,25.541428571428572,31.04,21.8,88.71571428571428,285,187,62,48,28,0.312,387,187,8
2020,19,Akoko North-East,0,WHO_literature,2020-05-11,19.53,26.255714285714284,31.57,22.54,85.78142857142858,285,187,62,48,28,0.312,387,187,8
2020,20,Akoko North-East,0,WHO_literature,2020-05-18,19.48,25.611428571428572,30.72,21.76,86.26285714285714,285,187,62,48,28,0.312,387,187,8
2020,21,Akoko North-East,0,WHO_literature,2020-05-25,35.05,25.275714285714287,31.15,21.23,87.81428571428572,285,187,62,48,28,0.312,387,187,8
2020,22,Akoko North-East,0,WHO_literature,2020-06-01,54.93,24.958571428571428,29.09,21.67,89.49714285714286,285,187,62,48,28,0.312,387,187,8
2020,23,Akoko North-East,0,WHO_literature,2020-06-08,74.68,24.787142857142857,28.97,22.03,90.20428571428572,285,187,62,48,28,0.312,387,187,8
2020,24,Akoko North-East,0,WHO_literature,2020-06-15,64.32000000000001,24.46,29.32,21.26,89.60285714285715,285,187,62,48,28,0.312,387,187,8
2020,25,Akoko North-East,0,WHO_literature,2020-06-22,50.21,24.59,30.11,20.29,88.87857142857142,285,187,62,48,28,0.312,387,187,8
2020,26,Akoko North-East,1,WHO_literature,2020-06-29,68.91,24.451428571428572,28.87,21.53,89.31857142857143,285,187,62,48,28,0.312,387,187,8
2020,27,Akoko North-East,0,WHO_literature,2020-07-06,75.9,23.99142857142857,28.51,21.03,89.97857142857143,285,187,62,48,28,0.312,387,187,8
2020,28,Akoko North-East,0,WHO_literature,2020-07-13,74.05,23.805714285714284,28.28,20.9,90.71571428571428,285,187,62,48,28,0.312,387,187,8
2020,29,Akoko North-East,1,WHO_literature,2020-07-20,69.06,23.134285714285713,27.84,20.52,90.57285714285715,285,187,62,48,28,0.312,387,187,8
2020,30,Akoko North-East,0,WHO_literature,2020-07-27,61.839999999999996,23.54,28.15,20.89,90.19428571428571,285,187,62,48,28,0.312,387,187,8
2020,31,Akoko North-East,0,WHO_literature,2020-08-03,27.95,23.495714285714286,28.45,20.11,89.26142857142858,285,187,62,48,28,0.312,387,187,8
2020,32,Akoko North-East,0,WHO_literature,2020-08-10,6.25,22.55857142857143,28.28,18.13,88.01428571428572,285,187,62,48,28,0.312,387,187,8
2020,33,Akoko North-East,0,WHO_literature,2020-08-17,4.78,23.259999999999998,29.69,18.28,86.67428571428572,285,187,62,48,28,0.312,387,187,8
2020,34,Akoko North-East,0,WHO_literature,2020-08-24,35.73,23.87857142857143,29.64,20.65,89.48571428571428,285,187,62,48,28,0.312,387,187,8
2020,35,Akoko North-East,0,WHO_literature,2020-08-31,19.62,23.407142857142855,28.5,19.94,88.47142857142858,285,187,62,48,28,0.312,387,187,8
2020,36,Akoko North-East,0,WHO_literature,2020-09-07,165.73000000000002,23.58857142857143,28.82,20.51,90.41142857142857,285,187,62,48,28,0.312,387,187,8
2020,37,Akoko North-East,0,WHO_literature,2020-09-14,138.67000000000002,23.96857142857143,29.49,20.33,89.10000000000001,285,187,62,48,28,0.312,387,187,8
2020,38,Akoko North-East,0,WHO_literature,2020-09-21,88.53999999999999,24.011428571428574,28.43,20.78,89.77142857142857,285,187,62,48,28,0.312,387,187,8
2020,39,Akoko North-East,0,WHO_literature,2020-09-28,65.22,23.68,27.82,20.44,89.72142857142856,285,187,62,48,28,0.312,387,187,8
2020,40,Akoko North-East,0,WHO_literature,2020-10-05,58.769999999999996,24.002857142857142,28.56,20.63,90.09285714285714,285,187,62,48,28,0.312,387,187,8
2020,41,Akoko North-East,0,WHO_literature,2020-10-12,70.25,23.431428571428572,27.81,19.16,89.37,285,187,62,48,28,0.312,387,187,8
2020,42,Akoko North-East,0,WHO_literature,2020-10-19,50.07,24.544285714285714,29.91,20.65,88.85000000000001,285,187,62,48,28,0.312,387,187,8
2020,43,Akoko North-East,0,WHO_literature,2020-10-26,22.29,25.118571428571432,30.35,21.26,86.88142857142857,285,187,62,48,28,0.312,387,187,8
2020,44,Akoko North-East,0,WHO_literature,2020-11-02,4.87,25.287142857142857,30.88,19.91,82.40857142857143,285,187,62,48,28,0.312,387,187,8
2020,45,Akoko North-East,0,WHO_literature,2020-11-09,4.87,24.907142857142855,30.04,19.39,81.44285714285715,285,187,62,48,28,0.312,387,187,8
2020,46,Akoko North-East,0,WHO_literature,2020-11-16,6.92,24.38714285714286,29.79,19.46,79.14999999999999,285,187,62,48,28,0.312,387,187,8
2020,47,Akoko North-East,0,WHO_literature,2020-11-23,1.06,24.518571428571427,30.05,18.67,74.19714285714285,285,187,62,48,28,0.312,387,187,8
2020,48,Akoko North-East,0,WHO_literature,2020-11-30,23.4,25.444285714285716,31.03,19.97,79.44285714285715,285,187,62,48,28,0.312,387,187,8
2020,49,Akoko North-East,0,WHO_literature,2020-12-07,0.09,24.792857142857144,31.38,18.17,74.84142857142857,285,187,62,48,28,0.312,387,187,8
